X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
987209,88;6245668,21;Mendes France;Publique;Place Mendes France;Rue François Pelletier;Avenue des Mûriers;;;;
987100,43;6245500,2;Victor Hugo;Publique;Place Victor Hugo;Bd du Mal de Lattre de Tassigny;Traverse Victor Hugo;98/118;27/08/1998;;
991170,82;6247650,5;Brigantine;Privée;Quai de la Brigantine;Boulevard des Marines;Impasse;;;;
991586,43;6247208,62;Galiote;Publique;Quai de la Galiote;Rue de la Plage;Impasse (Parcelle BE 25);;;466m;
986906,36;6246101,89; Nº558;Publique;RD Nº558;Rond-Point Saint-Maur;Commune de Grimaud;;;43 m;
987319,52;6245860,44;André Pousse;Publique;Rond Point André Pousse;Avenue Claude Sautet;Avenue de la Giscle;;;;
989865,89;6246669,8;Font-Mourier ;Départementale;Rond Point de Font-Mourier;Route de La Foux;Route du Pont de Vinaigre;;25/10/2012;;
986811,45;6245053,55;1ère D.F.L;Publique;Rd Pt de la 1ère division Française Libre;Rue Héliodore Pisan;Chemin des Fourches;2011/021;29/03/2011;;
986163,95;6246096,31;Grand-Sud;Départementale;Rond point Grand-Sud;Avenue Saint-Maur;Avenue Blaise Pascal;2010/109;14/12/2010;;
987187,26;6245280,8;Jean-Pierre de Kock;Publique;Rd Pt Jean-Pierre de Kock;Avenue Sigismond Coulet;Avenue du Subeiran;98/061;28/05/1998;;
986907,27;6246085,61;Saint-Maur;Publique;Rond Point Saint-Maur;Avenue Claude Sautet;Avenue Saint Maur;2010/109;14/12/2010;;
987355,57;6245247,94;Rond-Point;Publique;Rond-point;Avenue du Subeiran;Rue du Gaou;;;;Non nommée
985888,72;6245984,54;Rond-Point;Publique;Rond-Point;Chemin de l'Argentière;Rue Balise Pascal;;;;Non nommée
987777,09;6245417,59;Armée d'Afrique;Publique;Rond-Point de l'Armée d'Afrique;Route de La Foux;Avenue Georges Clémenceau;;;;
985876,42;6245577,62;Assomption;Publique;Rond-point de l'Assomption;Chemin des Mines;Chemin de Faucon;2016/029;03/03/2016;;
990427,37;6247314,11;Port Cogolin;Publique;Rond-Point de Port Cogolin;Rue de la Cité des Marins;Allée du Grand Port;;;;
